model,system,seed,epoch,train_loss,val_loss
HNN-FP32,harmonic,42,0,5.952348e-1,8.593369e-1
HNN-FP32,harmonic,42,5,5.952525e-1,8.593904e-1
HNN-FP32,harmonic,42,10,5.951445e-1,8.592725e-1
HNN-FP32,harmonic,42,15,5.950769e-1,8.592153e-1
HNN-FP32,harmonic,42,19,5.950615e-1,8.591981e-1
HNN-Ternary,harmonic,42,0,8.370849e1,8.759914e1
HNN-Ternary,harmonic,42,5,8.370849e1,8.759914e1
HNN-Ternary,harmonic,42,10,8.370849e1,8.759914e1
HNN-Ternary,harmonic,42,15,8.370849e1,8.759914e1
HNN-Ternary,harmonic,42,19,8.370849e1,8.759914e1
HNN-Adaptive,harmonic,42,0,1.729429e2,1.402231e2
HNN-Adaptive,harmonic,42,5,1.732900e2,1.403308e2
HNN-Adaptive,harmonic,42,10,1.399253e2,1.142091e2
HNN-Adaptive,harmonic,42,15,1.140499e2,9.368642e1
HNN-Adaptive,harmonic,42,19,9.778995e1,8.031732e1
MLP-FP32,harmonic,42,0,6.045983e-1,8.659011e-1
MLP-FP32,harmonic,42,5,6.043707e-1,8.656070e-1
MLP-FP32,harmonic,42,10,6.041284e-1,8.652927e-1
MLP-FP32,harmonic,42,15,6.039036e-1,8.649853e-1
MLP-FP32,harmonic,42,19,6.037298e-1,8.647590e-1